Full Name,Student ID,Gender,Student Type,Average Grade,Study Programme,Study Area,Internship Options,Company Preferences,First Preference,Second Preference,Internship Status,Internship Semester,Date of Birth,Offer Date
Mr. Dylan Frye MD,20289783,Female,International,B grade,Master of Applied IT,Network Engineering,"Game development, API development, Security, Other, Database","Other, Enlighten Design, Datacom, Hospital",Classroom project,Design Factory,For Review,2023 S2,15/08/2002,
Benjamin Brown,20257619,Male,International,A grade,Bachelor of Applied IT,Database or Data Analytics,"Mobile app development, Project management, Business analysis, Security",Hospital,Classroom project,Classroom project,Available,2022 S2,12/12/2002,
Mr. Lawrence Edwards,20294157,Female,Domestic,C grade,Master of Applied IT,Network Engineering,"System support – help desk, Mobile app development, Business analysis","Waikato Regional Council, Datacom, Tuatahi First Fibre, Gallagher",Industry project,Industry project,Placed,2022 S2,2/09/1999,25/07/2024
Shannon Hester,20217139,Male,International,C grade,Bachelor of Applied IT,Software Engineering,"System support – help desk, API development, Networking, Mobile app development, Security","Tuatahi First Fibre, Other, Gallagher",Internal client internship/project,Industry project,Placed,2024 S1,30/05/2001,7/02/2024
Ashley Allen,20216059,Female,Domestic,C grade,Master of Applied IT,Software Engineering,Game development,IT Partners,Industry project,Internship,Available,2021 S2,27/11/1997,
Charles Williams,20250351,Female,International,B grade,Master of Applied IT,Network Engineering,Game development,"Hospital, Other, CTEK",Internship,Internship,Available,2023 S1,12/01/2003,
Sean Moore,20242917,Female,International,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"Web development, Database","Blackout Games, Enlighten Design, Gallagher, Hospital",Industry project,Design Factory,Available,2022 S2,12/06/1999,
Christopher Ferrell,20261186,Female,International,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Project management, API development, Web development","Other, Gallagher, Hospital",Internal client internship/project,Classroom project,For Review,2024 S1,10/10/2005,
Kathleen Davis,20251543,Male,International,B grade,Postgraduate Diploma in Applied IT,Software Engineering,UX/UI design,"Blackout Games, Hospital, Waikato Regional Council, HCC - Hamilton City Council",Classroom project,Industry project,Placed,2021 S1,1/01/2006,10/02/2024
David Aguilar,20206377,Female,Domestic,C grade,Bachelor of Applied IT,Software Engineering,"Business analysis, Database","Datacom, IT Partners",GIG - Internal client based projects,GIG - Internal client based projects,Placed,2021 S1,11/07/1990,25/02/2024
Kyle Cameron,20288148,Male,International,B grade,Bachelor of Applied IT,Network Engineering,"Mobile app development, System support – help desk",Other,Internal client internship/project,Classroom project,Available,2022 S1,25/10/2004,
Adam Rodriguez,20217555,Female,International,A grade,Bachelor of Applied IT,Software Engineering,"Networking, Software testing","Waikato Regional Council, Other, Enlighten Design",Industry project,Design Factory,For Review,2021 S2,20/10/1997,
Pamela Diaz,20252505,Male,Domestic,A grade,Master of Applied IT,Business Analysis or Project Management,"Database, Business analysis","Enlighten Design, Hospital, CTEK, Datacom",Classroom project,Classroom project,Available,2021 S1,18/07/1990,
Chloe Tran,20209637,Male,International,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Game development, Web development, UX/UI design","Other, HCC - Hamilton City Council",Internship,Industry project,Available,2024 S2,13/12/2001,
Pamela Ramirez,20281689,Female,Domestic,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Business analysis,"Enlighten Design, CTEK, Fonterra, Waikato Regional Council",GIG - Internal client based projects,Design Factory,Placed,2024 S1,5/11/1992,21/02/2024
Brent Brooks,20244444,Male,International,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"Database, Other","Enlighten Design, Gallagher, Blackout Games, Fonterra",Design Factory,GIG - Internal client based projects,For Review,2021 S2,30/03/2001,
Christina Hicks,20265546,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Game development, API development",Enlighten Design,Design Factory,Industry project,Available,2023 S2,5/03/1990,
Chad Cook,20262094,Male,International,C grade,Master of Applied IT,Software Engineering,"Game development, Mobile app development, Data analytics, Networking","Tuatahi First Fibre, Waikato Regional Council",GIG - Internal client based projects,Industry project,Available,2020 S2,23/06/2006,
Larry Robertson,20242987,Female,International,C grade,Master of Applied IT,Network Engineering,Security,"Hospital, CTEK, LIC, Blackout Games",GIG - Internal client based projects,Classroom project,Placed,2024 S1,23/08/1999,6/02/2024
William Stevenson,20239221,Female,Domestic,A grade,Bachelor of Applied IT,Database or Data Analytics,"Other, Project management, System support – help desk, UX/UI design, Software testing","Other, Enlighten Design",Internship,Classroom project,Available,2022 S1,1/04/2000,
Katrina Burns,20273783,Female,Domestic,C grade,Bachelor of Applied IT,Network Engineering,"Web development, Networking","Gallagher, Tuatahi First Fibre, Enlighten Design",Classroom project,Design Factory,For Review,2024 S2,2/01/1999,
Alan Rivera,20214366,Male,International,C grade,Master of Applied IT,Business Analysis or Project Management,"Game development, Data analytics, Security, Business analysis",HCC - Hamilton City Council,Design Factory,Internal client internship/project,Placed,2024 S1,23/12/2002,2/02/2024
Rebecca Swanson,20290183,Male,International,A grade,Master of Applied IT,Database or Data Analytics,System support – help desk,Hospital,Design Factory,Design Factory,Available,2022 S2,17/09/1989,
Deborah Rios,20275821,Male,International,B grade,Bachelor of Applied IT,Software Engineering,"Business analysis, Project management, UX/UI design","Tuatahi First Fibre, Enlighten Design",Design Factory,Internal client internship/project,For Review,2020 S2,18/07/1996,
Lauren Jackson,20282447,Female,Domestic,B grade,Bachelor of Applied IT,Business Analysis or Project Management,"Security, API development, Data analytics, System support – help desk, Other","CTEK, Blackout Games, Fonterra",Design Factory,Industry project,Placed,2021 S2,27/09/2001,2/07/2024
Michael Johnson,20291818,Male,International,B grade,Master of Applied IT,Database or Data Analytics,"Business analysis, Mobile app development, API development, Database","Datacom, Waikato Regional Council, Enlighten Design",Classroom project,Design Factory,Placed,2023 S2,17/07/1992,26/07/2024
Jeremy Barnes,20254127,Male,International,C grade,Postgraduate Diploma in Applied IT,Software Engineering,Security,Tuatahi First Fibre,GIG - Internal client based projects,Internship,Placed,2021 S2,28/09/1995,14/07/2024
Reginald Knapp,20296447,Female,International,B grade,Postgraduate Diploma in Applied IT,Software Engineering,Project management,"Enlighten Design, IT Partners",Internal client internship/project,Internship,Available,2022 S1,4/12/1990,
Kelly Hoffman,20286799,Female,International,A grade,Master of Applied IT,Database or Data Analytics,"Game development, UX/UI design, Business analysis",Datacom,Industry project,Internal client internship/project,Available,2023 S2,29/01/2005,
Emily Thompson,20269878,Male,International,B grade,Bachelor of Applied IT,Business Analysis or Project Management,"Mobile app development, Data analytics, Game development, Networking, Database","Waikato Regional Council, Enlighten Design, Hospital",Internal client internship/project,Design Factory,Placed,2020 S1,14/06/2000,19/02/2024
Megan Dillon,20289226,Female,Domestic,A grade,Bachelor of Applied IT,Database or Data Analytics,Mobile app development,"Hospital, Blackout Games, Datacom, Waikato Regional Council",Design Factory,Classroom project,For Review,2024 S2,19/10/1997,
Cheryl Wright,20273149,Female,Domestic,C grade,Bachelor of Applied IT,Database or Data Analytics,"Security, Data analytics, Web development, Mobile app development","IT Partners, HCC - Hamilton City Council, Blackout Games, Other",Industry project,Internship,Available,2020 S1,17/12/1998,
William Evans,20237880,Male,Domestic,C grade,Bachelor of Applied IT,Business Analysis or Project Management,"System support – help desk, Web development, Mobile app development, Data analytics, Database","Other, CTEK, Datacom",Internship,Design Factory,Placed,2021 S1,9/11/1995,24/02/2024
Katherine Castillo,20273464,Male,Domestic,B grade,Master of Applied IT,Network Engineering,API development,Hospital,Design Factory,Internship,Available,2023 S2,9/02/1998,
Kenneth Daniels,20251712,Male,Domestic,A grade,Master of Applied IT,Database or Data Analytics,"Mobile app development, Web development","IT Partners, Other",Design Factory,Internal client internship/project,Available,2020 S2,19/07/2000,
Regina Roberts,20293603,Male,International,B grade,Bachelor of Applied IT,Network Engineering,"Database, Other, Security, Web development, Software testing","Blackout Games, CTEK, IT Partners",Industry project,GIG - Internal client based projects,Available,2024 S2,30/06/1991,
Jeremy Scott,20262793,Male,International,B grade,Master of Applied IT,Database or Data Analytics,"Data analytics, Networking, System support – help desk, Software testing, Other",LIC,Classroom project,Internship,For Review,2023 S1,1/02/1996,
Joshua Fitzpatrick,20291248,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Other, Web development, UX/UI design",Other,Classroom project,Design Factory,For Review,2020 S2,17/01/1998,
Luis Matthews,20231779,Female,International,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Web development, Other, System support – help desk, Business analysis","CTEK, Fonterra, Datacom",GIG - Internal client based projects,GIG - Internal client based projects,Available,2022 S2,13/07/1990,
Kiara Little,20206880,Female,International,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Data analytics, Other, System support – help desk","Other, CTEK, Waikato Regional Council",Design Factory,Industry project,Placed,2020 S2,19/03/1992,27/07/2024
Mitchell Garcia,20218018,Male,Domestic,C grade,Master of Applied IT,Network Engineering,"Database, Data analytics, Game development","HCC - Hamilton City Council, Waikato Regional Council, Other, Blackout Games",Industry project,Classroom project,Available,2020 S2,24/12/1988,
Vanessa Moore,20285575,Male,Domestic,B grade,Master of Applied IT,Database or Data Analytics,"UX/UI design, Web development, System support – help desk, Project management, Security","LIC, Waikato Regional Council, Enlighten Design, Tuatahi First Fibre",Internal client internship/project,Design Factory,For Review,2023 S2,27/12/2004,
Curtis Maynard,20242096,Female,Domestic,A grade,Master of Applied IT,Network Engineering,"Software testing, Game development, Mobile app development, Data analytics, Networking",HCC - Hamilton City Council,Industry project,Design Factory,Placed,2020 S1,8/07/1998,22/02/2024
Susan Davis,20275252,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Business analysis, Data analytics, Web development, UX/UI design, Mobile app development","Waikato Regional Council, Hospital, IT Partners",Classroom project,GIG - Internal client based projects,Available,2020 S2,14/09/1996,
Miranda Zuniga,20222946,Male,Domestic,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Database, Networking, Software testing","LIC, IT Partners, Gallagher",Industry project,Classroom project,Placed,2024 S2,9/01/2003,21/07/2024
